country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Azerbaijan,,,,3230,2610,2310,2360,2520,2790,3120,3320,3680,4030,4480,4850,5970,8140,10k,11.6k,12.9k,13.8k,13.8k,15.1k,16.3k,16.9k,14.5k,13.5k,13.6k,13.8k,14.5k,14.4k,15.6k,16.6k
Burundi,600,640,650,640,630,550,520,520,540,530,540,530,550,530,550,560,590,610,620,610,630,640,650,700,730,800,770,750,760,760,760,790,840
Belgium,18.8k,19.7k,20.4k,20.8k,22.1k,22.9k,23.3k,24.3k,25k,26k,28.5k,29.3k,30.8k,31.5k,32.5k,33.6k,35.8k,37.3k,38.8k,38.5k,40.5k,41k,43.3k,44.8k,45.9k,46.9k,49.1k,50.9k,53k,56.3k,55.2k,60.1k,66.5k
Benin,1200,1260,1270,1330,1330,1420,1470,1540,1580,1640,1720,1800,1850,1890,1970,2010,2080,2200,2290,2290,2290,2350,2410,2580,2730,2770,2880,2900,3080,3260,3330,3650,4020
Burkina Faso,570,620,620,640,650,680,760,800,840,890,900,950,970,1030,1070,1160,1250,1290,1350,1350,1410,1470,1530,1590,1570,1580,1750,1900,2030,2100,2130,2290,2440
Bangladesh,990,1040,1110,1170,1220,1280,1340,1400,1470,1530,1620,1700,1780,1860,1990,2150,2360,2580,2790,2930,3100,3330,3740,3990,4220,4450,4770,5000,5460,5930,6150,6870,7690
Bulgaria,6950,6490,6810,6910,7190,7570,6630,5570,6060,5730,6270,6970,7950,8550,9310,10.3k,11.1k,11.9k,13.7k,13.7k,14.7k,15.3k,16.1k,16.3k,17.5k,17.8k,19.4k,21k,22.3k,24.4k,24.2k,26.9k,32.7k
Bahrain,27.1k,29.8k,30.3k,32.4k,31.7k,33.7k,34.8k,34.2k,35.6k,36k,38.4k,38.8k,38.9k,41k,42.1k,43.6k,44.7k,46.7k,46.4k,41.8k,43.5k,43.4k,52k,51.7k,49.5k,43.3k,42.8k,46.2k,47.4k,48.9k,47.1k,51.4k,58.5k
Bahamas,19.9k,19.3k,18.9k,18.8k,19.4k,22.4k,24.6k,21.5k,22.3k,24.1k,25.3k,26k,26.9k,26.8k,27.4k,28.7k,29.9k,30.7k,30.5k,28.8k,28.9k,29.4k,29.9k,29.1k,30k,30.4k,30.6k,32.5k,33.3k,34.1k,26.1k,32.1k,38.8k
Bosnia and Herzegovina,,,,,840,1040,2010,2690,3830,4090,4520,4650,4950,5150,5910,6210,7090,7920,8910,9030,9240,9840,10.2k,10.9k,11.2k,11.9k,12.9k,13.5k,14.7k,16.1k,15.8k,17.2k,19.8k
